timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723809937510,6,Petición HTTP,200,OK,Open Model Thread Group 1-2342,text,true,,189,196,3,3,http://127.0.0.1:5000/,6,0,1
1723809937513,7,Petición HTTP,200,OK,Open Model Thread Group 1-2343,text,true,,189,196,3,3,http://127.0.0.1:5000/,7,0,1
1723809937514,8,Petición HTTP,200,OK,Open Model Thread Group 1-2344,text,true,,189,196,2,2,http://127.0.0.1:5000/,7,0,1
1723809937517,6,Petición HTTP,200,OK,Open Model Thread Group 1-2345,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,2
1723809937524,5,Petición HTTP,200,OK,Open Model Thread Group 1-2347,text,true,,189,196,3,3,http://127.0.0.1:5000/,5,0,1
1723809937524,6,Petición HTTP,200,OK,Open Model Thread Group 1-2346,text,true,,189,196,2,2,http://127.0.0.1:5000/,6,0,1
1723809937525,6,Petición HTTP,200,OK,Open Model Thread Group 1-2348,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,1
1723809937535,4,Petición HTTP,200,OK,Open Model Thread Group 1-2349,text,true,,189,196,3,3,http://127.0.0.1:5000/,4,0,1
1723809937535,5,Petición HTTP,200,OK,Open Model Thread Group 1-2350,text,true,,189,196,2,2,http://127.0.0.1:5000/,5,0,1
1723809937535,6,Petición HTTP,200,OK,Open Model Thread Group 1-2351,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,1
1723809937542,3,Petición HTTP,200,OK,Open Model Thread Group 1-2352,text,true,,189,196,1,1,http://127.0.0.1:5000/,2,0,1
1723809937546,3,Petición HTTP,200,OK,Open Model Thread Group 1-2353,text,true,,189,196,1,1,http://127.0.0.1:5000/,3,0,2
1723809937551,3,Petición HTTP,200,OK,Open Model Thread Group 1-2354,text,true,,189,196,1,1,http://127.0.0.1:5000/,3,0,2
1723809937556,5,Petición HTTP,200,OK,Open Model Thread Group 1-2355,text,true,,189,196,2,2,http://127.0.0.1:5000/,5,0,1
1723809937556,6,Petición HTTP,200,OK,Open Model Thread Group 1-2356,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,1
1723809937565,3,Petición HTTP,200,OK,Open Model Thread Group 1-2357,text,true,,189,196,2,2,http://127.0.0.1:5000/,3,0,1
1723809937567,5,Petición HTTP,200,OK,Open Model Thread Group 1-2358,text,true,,189,196,1,1,http://127.0.0.1:5000/,5,0,1
1723809937574,3,Petición HTTP,200,OK,Open Model Thread Group 1-2359,text,true,,189,196,1,1,http://127.0.0.1:5000/,2,0,0
1723809937579,3,Petición HTTP,200,OK,Open Model Thread Group 1-2360,text,true,,189,196,2,2,http://127.0.0.1:5000/,3,0,1
1723809937582,3,Petición HTTP,200,OK,Open Model Thread Group 1-2361,text,true,,189,196,2,2,http://127.0.0.1:5000/,3,0,1
1723809937585,3,Petición HTTP,200,OK,Open Model Thread Group 1-2362,text,true,,189,196,1,1,http://127.0.0.1:5000/,3,0,1
1723809937600,24,Petición HTTP,200,OK,Open Model Thread Group 1-2366,text,true,,189,196,10,10,http://127.0.0.1:5000/,24,0,3
1723809937597,27,Petición HTTP,200,OK,Open Model Thread Group 1-2363,text,true,,189,196,9,9,http://127.0.0.1:5000/,27,0,4
1723809937597,47,Petición HTTP,200,OK,Open Model Thread Group 1-2364,text,true,,189,196,13,13,http://127.0.0.1:5000/,46,0,9
1723809937600,51,Petición HTTP,200,OK,Open Model Thread Group 1-2365,text,true,,189,196,16,16,http://127.0.0.1:5000/,50,0,4
1723809937609,49,Petición HTTP,200,OK,Open Model Thread Group 1-2370,text,true,,189,196,16,16,http://127.0.0.1:5000/,48,0,3
1723809937606,57,Petición HTTP,200,OK,Open Model Thread Group 1-2368,text,true,,189,196,19,19,http://127.0.0.1:5000/,57,0,0
1723809937615,54,Petición HTTP,200,OK,Open Model Thread Group 1-2372,text,true,,189,196,18,18,http://127.0.0.1:5000/,54,0,2
1723809937608,64,Petición HTTP,200,OK,Open Model Thread Group 1-2369,text,true,,189,196,18,18,http://127.0.0.1:5000/,64,0,3
1723809937614,65,Petición HTTP,200,OK,Open Model Thread Group 1-2371,text,true,,189,196,20,20,http://127.0.0.1:5000/,65,0,2
1723809937604,87,Petición HTTP,200,OK,Open Model Thread Group 1-2367,text,true,,189,196,21,21,http://127.0.0.1:5000/,86,0,2
1723809937625,71,Petición HTTP,200,OK,Open Model Thread Group 1-2373,text,true,,189,196,21,21,http://127.0.0.1:5000/,71,0,2
1723809937659,48,Petición HTTP,200,OK,Open Model Thread Group 1-2384,text,true,,189,196,23,23,http://127.0.0.1:5000/,48,0,3
1723809937625,88,Petición HTTP,200,OK,Open Model Thread Group 1-2374,text,true,,189,196,26,26,http://127.0.0.1:5000/,88,0,3
1723809937657,60,Petición HTTP,200,OK,Open Model Thread Group 1-2382,text,true,,189,196,25,25,http://127.0.0.1:5000/,59,0,3
1723809937659,59,Petición HTTP,200,OK,Open Model Thread Group 1-2385,text,true,,189,196,24,24,http://127.0.0.1:5000/,59,0,5
1723809937674,46,Petición HTTP,200,OK,Open Model Thread Group 1-2389,text,true,,189,196,23,23,http://127.0.0.1:5000/,46,0,2
1723809937659,63,Petición HTTP,200,OK,Open Model Thread Group 1-2383,text,true,,189,196,22,22,http://127.0.0.1:5000/,63,0,1
1723809937664,59,Petición HTTP,200,OK,Open Model Thread Group 1-2386,text,true,,189,196,21,21,http://127.0.0.1:5000/,59,0,2
1723809937649,75,Petición HTTP,200,OK,Open Model Thread Group 1-2380,text,true,,189,196,20,20,http://127.0.0.1:5000/,75,0,3
1723809937670,57,Petición HTTP,200,OK,Open Model Thread Group 1-2387,text,true,,189,196,19,19,http://127.0.0.1:5000/,57,0,1
1723809937640,87,Petición HTTP,200,OK,Open Model Thread Group 1-2376,text,true,,189,196,19,19,http://127.0.0.1:5000/,87,0,4
1723809937645,84,Petición HTTP,200,OK,Open Model Thread Group 1-2378,text,true,,189,196,17,17,http://127.0.0.1:5000/,84,0,2
1723809937642,88,Petición HTTP,200,OK,Open Model Thread Group 1-2377,text,true,,189,196,16,16,http://127.0.0.1:5000/,88,0,2
1723809937703,30,Petición HTTP,200,OK,Open Model Thread Group 1-2395,text,true,,189,196,15,15,http://127.0.0.1:5000/,30,0,1
1723809937678,57,Petición HTTP,200,OK,Open Model Thread Group 1-2390,text,true,,189,196,14,14,http://127.0.0.1:5000/,57,0,1
1723809937632,103,Petición HTTP,200,OK,Open Model Thread Group 1-2375,text,true,,189,196,13,13,http://127.0.0.1:5000/,103,0,2
1723809937649,89,Petición HTTP,200,OK,Open Model Thread Group 1-2379,text,true,,189,196,16,16,http://127.0.0.1:5000/,88,0,2
1723809937650,89,Petición HTTP,200,OK,Open Model Thread Group 1-2381,text,true,,189,196,15,15,http://127.0.0.1:5000/,89,0,3
